,Name,Degree Centrality,Closeness,Betweenness,Eigen Centrality,Sith/Jedi Alignment
0,Wilhuff_Tarkin,233,0.4045675744396284,0.03649277491584748,0.12008273979172673,-0.38
1,Obi-Wan_Kenobi,433,0.41544592997275226,0.055277633339127934,0.20392112224976564,0.86
2,Asajj_Ventress,118,0.3694485065565555,0.008341089842641859,0.07999872716056329,-0.2
3,Mitthrawnuruodo,180,0.36749915514005105,0.031601433586278725,0.06680603878833469,-0.36
4,Saw_Gerrera,126,0.3712929355535801,0.020409562359172535,0.06020729575459291,1.0
5,Grievous,140,0.36895147669824346,0.008170837099463337,0.09315582786172205,0.33
6,Luke_Skywalker,387,0.4319688828875969,0.08265852589189979,0.15567154308809952,1.0
7,Darth_Sidious,577,0.4532995777244018,0.14252910130378244,0.24853137909239073,-0.25
8,Ezra_Bridger,209,0.40127479765635204,0.02966784603790837,0.10375056922242294,0.6
9,Han_Solo,430,0.4195773486682166,0.08376494893553196,0.13796045302050802,0.05
10,Mon_Mothma,153,0.4011647387431166,0.019782316962981505,0.10230831680877657,0.22
11,Plo_Koon,83,0.36333029000349504,0.0017756875786137905,0.07815580716820925,1.0
12,Yoda,160,0.4022680521059965,0.02394884678348472,0.11879361089716202,1.0
13,Maz_Kanata,96,0.37807512600139664,0.01474822724984036,0.04910176647603311,1.0
14,Jango_Fett,160,0.3672530894184976,0.015269695933188976,0.07705763372547937,0.33
15,Phasma,91,0.36876543510985876,0.0158997580426479,0.03948329269077555,-1.0
16,Gial_Ackbar,107,0.38585472321247005,0.010154845595743636,0.07243498940834985,0.77
17,The_Smuggler,138,0.3256839540096645,0.04020378312322475,0.009641875785958733,0.5
18,Anakin_Skywalker,807,0.4598071793327266,0.18009922132577508,0.3091087395792395,0.11
19,Kanan_Jarrus,191,0.38793563012750504,0.018824949753226416,0.09527875625513185,0.86
20,Poe_Dameron,174,0.37846644060481366,0.029734681715928885,0.05800469071874364,0.73
21,Rey_Skywalker,144,0.38834763362883523,0.02316661611765574,0.07055261006545514,0.5
22,Skywalker_family,70,0.38003983304800015,0.0022345561304537172,0.0705574455230528,0.33
23,Chelli_Lona_Aphra,127,0.3732193512266913,0.018616224977411996,0.05571033968522422,-0.56
24,Sabine_Wren,139,0.3770355655930753,0.010352322641902832,0.07671470615260298,0.5
25,Finn,137,0.3751017193000692,0.020268631962064677,0.04605286259558518,0.57
26,Rex,171,0.3787931554188717,0.010213970098497081,0.11740697840938664,1.0
27,Boba_Fett,117,0.3837624551663643,0.014957722354090952,0.0740658059277597,-0.4
28,Ben_Solo,137,0.38845077127940947,0.017232025514344197,0.07800425036811784,0.29
29,Landonis_Balthazar_Calrissian,197,0.3963812025629819,0.03605935662594268,0.08211898203503133,0.7
30,Ahsoka_Tano,309,0.4018259993014844,0.040666295449070425,0.15733070885706887,1.0
31,Maul,134,0.3926919556445507,0.015110137494508102,0.10224574620416854,-0.8
32,Hondo_Ohnaka,125,0.37742473011974964,0.023763076384541223,0.07577875285280466,0.5
33,Dooku,246,0.37964525976572155,0.02268734521536663,0.13112407135587448,0.27
34,Jabba_Desilijic_Tiure,202,0.3916404777197617,0.024538295771542738,0.09667470079289053,-0.29
35,Garazeb_Orrelios,133,0.3788912798870745,0.013216134230193693,0.07543255135033958,1.0
36,Leia_Skywalker_Organa_Solo,438,0.43303463064958153,0.10553189611475562,0.15950507403080189,0.65
37,Chewbacca,278,0.4057272225956735,0.03680158904352428,0.11229206958563878,0.67
38,Hera_Syndulla,173,0.3920253651721799,0.019314154709331417,0.0947687391256079,1.0
39,Padmé_Amidala,258,0.3908729656486914,0.028208226367709945,0.1353117080047803,0.17
40,Jyn_Erso,102,0.3429685721722846,0.017693718237432796,0.026655909840891858,1.0
41,Mace_Windu,146,0.37629190570038673,0.009626945093883723,0.10909547202104938,1.0
42,Wullf_Yularen,81,0.38262468716185993,0.005500663124014622,0.07019770270092428,-0.25
